client_name,scope,last_delivery,account_lead
acme,Theme rebuild + CRO,2026-08-21,Dana W
Brightwaive Studios,Subscription migration,2026-08-27,Priya K
Northshore Coffee,Email flows + landing pages,2026-08-15,Sam T
Maple & Finch,Wholesale channel setup,2026-08-24,Dana W
JUNIPER PET SUPPLIES LLC,App integrations,2026-08-28,Miguel R
Verdant Home,Site speed + accessibility,2026-08-19,Priya K
Kestrel Coffee Roastery,Loyalty program build,2026-08-26,Sam T
Atlas Travel,Checkout extensions,2026-08-22,Miguel R
Fjord Outfitters,Seasonal campaign support,2026-08-29,Dana W
hearthside bakery ltd,Menu + ordering revamp,2026-08-08,Sam T
Golden Fern Interiors,Discovery workshop,2026-07-31,Priya K
