client_name,retainer_start,retainer_end,monthly_value
ACME Ltd,2026-06-11,2026-09-04,"£4,500"
Brightwave Studios,2025-11-23,2026-02-21,3200
Brightwave Studios,2026-05-22,2026-10-02,3800
Northshore Coffee Co.,2026-06-06,2026-08-24,2100
Maple & Finch Limited,2026-07-01,,2600
Juniper Pet Supplies,2026-06-21,2026-09-01,"£1,900.00"
Verdant Home plc,2026-07-11,,5200
Oslo & Sons Inc,2026-07-31,2026-12-23,2400
Kestrel Coffee Roasters,2026-06-01,2026-10-09,3100
Atlas Trading Ltd,2026-07-21,2026-09-08,2800
Fjord Outfitters,2026-08-10,,1500
Hearthside Bakery,2026-05-27,2026-08-28,1200
